City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,siklos,45.855,18.2975,14.58,100,19,2.06,HU,1730070675
1,blackmans bay,-43.0167,147.3167,11.52,60,13,1.79,AU,1730070676
2,iqaluit,63.7506,-68.5145,-7.39,85,76,5.36,CA,1730070677
3,yellowknife,62.456,-114.3525,-0.33,100,100,4.63,CA,1730070679
4,ketchikan,55.3422,-131.6461,8.99,87,75,3.09,US,1730070680
5,coquimbo,-29.9533,-71.3436,13.88,76,40,4.12,CL,1730070464
6,kefamenanu,-9.4467,124.4781,26.65,61,8,1.4,ID,1730070682
7,port-aux-francais,-49.35,70.2167,2.33,68,100,12.55,TF,1730070683
8,grytviken,-54.2811,-36.5092,-1.89,79,63,1.14,GS,1730070684
9,isafjordur,66.0755,-23.124,-4.56,67,18,4.22,IS,1730070440
10,invercargill,-46.4,168.35,10.57,77,100,3.13,NZ,1730070686
11,colonia,50.9333,6.95,15.07,91,100,0.51,DE,1730070459
12,barguzin,53.6167,109.6167,-1.46,90,97,0.98,RU,1730070689
13,longjiang,47.3303,123.1836,2.51,69,2,2.2,CN,1730070690
14,udachny,66.4167,112.4,-20.02,100,94,1.76,RU,1730070692
15,adamstown,-25.066,-130.1015,22.24,81,17,3.87,PN,1730070526
16,ribeira grande,38.5167,-28.7,18.21,81,44,2.98,PT,1730070694
17,uzgen,40.7699,73.3007,8.82,86,100,1.94,KG,1730070696
18,avarua,-21.2078,-159.775,25.03,65,40,7.72,CK,1730070697
19,bredasdorp,-34.5322,20.0403,15.78,86,100,11.42,ZA,1730070698
20,kirakira,-10.4544,161.9205,27.18,83,100,2.98,SB,1730070699
21,puerto natales,-51.7236,-72.4875,6.95,91,100,7.47,CL,1730070700
22,albany,42.6001,-73.9662,8.68,59,57,2.29,US,1730070560
23,natal,-5.795,-35.2094,24.36,100,40,3.09,BR,1730070671
24,whangarei,-35.7317,174.3239,18.48,44,94,4.55,NZ,1730070703
25,hilo,19.7297,-155.09,27.27,78,100,3.09,US,1730070477
26,port elizabeth,-33.918,25.5701,17.95,58,91,2.68,ZA,1730070706
27,port lincoln,-34.7333,135.8667,15.78,65,87,5.02,AU,1730070708
28,cestos city,5.46,-9.5828,25.59,88,94,2.76,LR,1730070709
29,jinghong,21.991,100.7341,18.3,99,15,1.13,CN,1730070711
30,nelson bay,-32.7167,152.15,24.49,59,0,4.47,AU,1730070712
31,hamilton,39.1834,-84.5333,13.47,51,0,2.06,US,1730070713
32,longyearbyen,78.2186,15.6401,-0.09,100,75,0.0,SJ,1730070714
33,verkhneural'sk,53.8769,59.2106,0.47,88,90,2.3,RU,1730070715
34,kosh-agach,50.0,88.6667,-3.52,95,96,0.79,RU,1730070716
35,fale old settlement,-9.3852,-171.2468,28.13,73,100,6.46,TK,1730070718
36,naze,28.3667,129.4833,24.19,87,12,1.34,JP,1730070654
37,taoudenni,22.6783,-3.9836,26.85,24,8,3.99,ML,1730070422
38,bethel,41.3712,-73.414,8.95,41,0,1.54,US,1730070721
39,barcelos,41.5388,-8.6151,11.05,83,1,2.4,PT,1730070722
40,zaysan,47.4667,84.8667,7.28,72,99,0.92,KZ,1730070723
41,praia,14.9215,-23.5087,25.15,78,100,6.73,CV,1730070724
42,vwawa,-9.1167,32.9333,18.44,76,73,0.96,TZ,1730070725
43,quellon,-43.1167,-73.6167,10.67,80,13,1.35,CL,1730070727
44,forster,-32.1667,152.5167,23.61,42,0,0.39,AU,1730070728
45,edinburgh of the seven seas,-37.0676,-12.3116,15.95,92,100,13.8,SH,1730070730
46,sarmiento,-45.5882,-69.07,15.18,35,79,14.22,AR,1730070731
47,waitangi,-43.9535,-176.5597,13.79,98,100,2.68,NZ,1730070732
48,thompson,55.7435,-97.8558,-0.86,57,100,4.92,CA,1730070733
49,mount isa,-20.7333,139.5,30.87,18,4,6.17,AU,1730070735
50,salinopolis,-0.6136,-47.3561,26.73,74,52,7.14,BR,1730070736
51,nkove,-7.95,30.85,22.6,83,74,0.44,TZ,1730070737
52,dapchi,12.4904,11.4944,25.95,17,0,3.55,NG,1730070738
53,buenavista del norte,28.3746,-16.861,20.91,75,16,7.53,ES,1730070739
54,afaahiti,-17.75,-149.2833,23.39,76,88,5.9,PF,1730070740
55,lively,46.4334,-81.1498,0.01,95,100,2.02,CA,1730070741
56,olonkinbyen,70.9221,-8.7187,-5.3,82,100,21.76,SJ,1730070742
57,el calafate,-50.3408,-72.2768,5.07,89,70,7.27,AR,1730070744
58,kanoya,31.3833,130.85,22.95,92,73,1.71,JP,1730070745
59,flagstaff,35.1981,-111.6513,21.02,21,0,5.66,US,1730070746
60,papatowai,-46.5619,169.4708,9.18,79,94,4.38,NZ,1730070747
61,bana,5.1481,10.2762,16.23,95,77,1.06,CM,1730070748
62,talnakh,69.4865,88.3972,-12.65,95,100,5.19,RU,1730070749
63,yatou,37.15,122.3833,9.61,69,0,3.26,CN,1730070751
64,maxixe,-23.8597,35.3472,23.36,93,100,1.05,MZ,1730070752
65,college,64.8569,-147.8028,-8.85,72,100,2.57,US,1730070753
66,saint-francois,46.4154,3.9054,14.12,95,0,0.51,FR,1730070754
67,tazovsky,67.4667,78.7,-3.28,97,100,3.82,RU,1730070755
68,vorgashor,67.5833,63.95,-5.31,96,82,1.91,RU,1730070756
69,uturoa,-16.7333,-151.4333,25.2,73,70,6.17,PF,1730070758
70,sur,22.5667,59.5289,28.56,43,1,3.01,OM,1730070759
71,acapulco de juarez,16.8634,-99.8901,30.9,70,0,4.12,MX,1730070760
72,ust-nera,64.5667,143.2,-21.32,99,90,1.54,RU,1730070761
73,bikenibeu village,1.3673,173.1241,27.47,70,100,4.62,KI,1730070762
74,polyarnyy,69.1989,33.4478,5.24,88,100,10.49,RU,1730070564
75,datca,36.7378,27.6842,18.4,63,97,3.45,TR,1730070764
76,touros,-5.1989,-35.4608,25.81,78,32,5.53,BR,1730070765
77,dakhla,23.6848,-15.958,19.39,86,3,7.44,EH,1730070767
78,ancud,-41.8697,-73.8203,10.96,76,13,1.33,CL,1730070768
79,selfoss,63.9331,-20.9971,-3.31,74,75,3.53,IS,1730070769
80,sitka,57.0531,-135.33,8.94,71,20,2.06,US,1730070770
81,revda,56.801,59.9303,-1.27,89,98,1.52,RU,1730070771
82,nar'yan-mar,67.6713,53.087,-0.16,91,82,4.91,RU,1730070772
83,rio grande,-32.035,-52.0986,16.31,71,13,4.22,BR,1730070773
84,zhanaozen,43.3,52.8,6.63,62,99,2.93,KZ,1730070775
85,prattville,32.464,-86.4597,27.74,44,100,4.12,US,1730070555
86,atafu village,-8.5421,-172.5159,27.77,73,100,6.34,TK,1730070777
87,chonchi,-42.6128,-73.8092,12.29,76,24,0.43,CL,1730070778
88,vorkuta,67.5,64.0,-5.76,96,79,1.71,RU,1730070779
89,whitehorse,60.7161,-135.0538,-3.88,83,94,3.15,CA,1730070640
90,remire-montjoly,4.9167,-52.2667,27.02,78,0,1.54,GF,1730070783
91,port mathurin,-19.6833,63.4167,23.68,78,2,5.81,MU,1730070784
92,saipan,15.1355,145.701,27.39,94,75,4.12,MP,1730070504
93,wailua homesteads,22.0669,-159.378,28.44,77,40,7.72,US,1730070787
94,peniche,39.3558,-9.3811,14.0,87,17,4.16,PT,1730070789
95,qaqortoq,60.7167,-46.0333,0.32,99,100,1.3,GL,1730070790
96,lebu,-37.6167,-73.65,11.21,83,1,9.04,CL,1730070648
97,beipiao,41.7919,120.7792,5.03,58,0,0.75,CN,1730070517
98,portland,45.5234,-122.6762,12.57,92,100,0.89,US,1730070793
99,minas de marcona,-15.2119,-75.1103,15.12,70,4,5.76,PE,1730070794
100,padre bernardo,-15.35,-48.5,22.9,80,69,1.29,BR,1730070795
101,lihue,21.9789,-159.3672,28.77,71,40,7.72,US,1730070797
102,san patricio,28.017,-97.5169,27.97,43,0,5.3,US,1730070798
103,madinat ash shamal,26.1293,51.2009,27.29,58,0,9.46,QA,1730070799
104,west island,-12.1568,96.8225,25.99,83,75,4.63,CC,1730070800
105,puerto ayora,-0.7393,-90.3518,20.31,98,85,4.02,EC,1730070801
106,ilulissat,69.2167,-51.1,-12.99,52,4,0.0,GL,1730070802
107,codrington,-38.2667,141.9667,13.81,60,64,5.68,AU,1730070803
108,kingston,17.997,-76.7936,27.31,85,93,1.77,JM,1730070804
109,mkushi,-13.6202,29.3939,20.43,70,100,2.31,ZM,1730070806
110,cabo san lucas,22.8909,-109.9124,33.17,43,0,5.14,MX,1730070663
111,anadyr,64.75,177.4833,-1.72,79,75,12.96,RU,1730070808
112,sena madureira,-9.0656,-68.6569,24.73,87,100,1.36,BR,1730070809
113,egilsstadir,65.2653,-14.3948,-7.1,91,21,2.4,IS,1730070810
114,moscow,55.7522,37.6156,8.52,81,100,1.82,RU,1730070725
115,titao,13.7667,-2.0667,29.77,25,5,3.21,BF,1730070812
116,port isabel,26.0734,-97.2086,28.02,67,0,5.36,US,1730070814
117,sao jose da coroa grande,-8.8978,-35.1478,25.35,85,12,3.95,BR,1730070817
118,walvis bay,-22.9575,14.5053,13.06,73,92,6.94,NA,1730070818
119,kasongo-lunda,-6.4667,16.8167,21.2,97,34,0.5,CD,1730070819
120,banamba,13.55,-7.45,28.23,41,60,3.2,ML,1730070821
121,mudanjiang,44.5833,129.6,0.34,84,7,1.96,CN,1730070822
122,simitli,41.8833,23.1167,12.54,50,42,0.7,BG,1730070823
123,jamestown,42.097,-79.2353,7.8,57,100,2.57,US,1730070529
124,margaret river,-33.95,115.0667,12.73,73,9,3.52,AU,1730070825
125,bria,6.5423,21.9863,21.26,96,73,0.94,CF,1730070826
126,georgetown,5.4112,100.3354,25.96,93,20,1.34,MY,1730070611
127,l'isle-jourdain,43.6144,1.0817,12.96,92,50,0.66,FR,1730070828
128,edson,53.5835,-116.4356,4.61,85,100,3.42,CA,1730070831
129,hotan,37.0997,79.9269,10.66,27,27,1.73,CN,1730070832
130,skaelskor,55.2506,11.2935,9.77,76,53,5.34,DK,1730070833
131,tual,-5.6667,132.75,26.81,80,100,5.21,ID,1730070834
132,mejit,10.2753,170.8646,28.63,75,8,4.37,MH,1730070835
133,carnarvon,-24.8667,113.6333,23.79,34,0,7.21,AU,1730070836
134,port blair,11.6667,92.75,26.77,82,45,2.58,IN,1730070838
135,saint-philippe,-21.3585,55.7679,23.99,89,75,2.4,RE,1730070650
136,east london,-33.0153,27.9116,17.75,43,4,4.42,ZA,1730070840
137,mochudi,-24.4167,26.15,21.31,21,76,5.82,BW,1730070841
138,tazacorte,28.629,-17.9293,20.08,85,75,7.72,ES,1730070842
139,kapuskasing,49.4169,-82.4331,-1.77,64,37,1.75,CA,1730070843
140,dogondoutchi,13.6393,4.0287,28.49,15,4,4.03,NE,1730070844
141,colonel hill,22.7667,-74.2167,27.61,62,58,10.24,BS,1730070674
142,pratt,37.6439,-98.7376,24.12,33,0,7.2,US,1730070847
143,ushuaia,-54.8,-68.3,4.59,91,69,2.28,AR,1730070625
144,port alfred,-33.5906,26.891,17.6,47,14,7.08,ZA,1730070849
145,new castle,41.0037,-80.347,8.27,56,0,0.0,US,1730070850
146,greenville,35.6127,-77.3663,14.51,92,100,0.0,US,1730070567
147,tsiombe,-25.3,45.4833,23.71,87,87,4.43,MG,1730070852
148,kodiak,57.79,-152.4072,6.73,57,0,1.54,US,1730070853
149,cole harbour,44.6724,-63.4751,5.52,55,2,2.24,CA,1730070854
150,qujing,25.4833,103.7833,11.58,82,100,1.23,CN,1730070856
151,bilibino,68.0546,166.4372,-10.69,90,100,1.81,RU,1730070858
152,sabang,5.8933,95.3214,28.35,77,100,9.23,ID,1730070859
153,utrik,11.2278,169.8474,28.59,76,97,3.66,MH,1730070860
154,plainview,40.7765,-73.4673,11.92,47,0,1.54,US,1730070861
155,wynyard,-41.0,145.7167,13.99,58,13,0.89,AU,1730070862
156,kayyerkan,69.3786,87.7439,-9.76,94,100,4.65,RU,1730070781
157,saint-pierre,-21.3393,55.4781,23.82,73,0,1.54,RE,1730070865
158,stanley,54.868,-1.6985,9.01,93,20,2.06,GB,1730070866
159,wamba,8.9333,8.6,23.13,55,13,1.7,NG,1730070704
160,vila franca do campo,37.7167,-25.4333,18.27,99,92,2.98,PT,1730070868
161,palmer,42.1584,-72.3287,7.47,45,38,1.36,US,1730070869
162,york,40.1254,-77.0,9.19,51,0,0.0,US,1730070347
163,freetown,8.484,-13.2299,26.19,89,16,2.65,SL,1730070871
164,bathsheba,13.2167,-59.5167,29.34,74,20,5.14,BB,1730070872
165,tiksi,71.6872,128.8694,-15.34,95,100,1.81,RU,1730070874
166,chui,-33.6971,-53.4616,13.23,82,8,2.82,UY,1730070875
167,viedma,-40.8135,-62.9967,19.2,38,92,4.03,AR,1730070595
168,banting,2.8167,101.5,26.07,100,82,0.91,MY,1730070877
169,cochirleanca,45.2167,27.0333,12.14,40,67,3.47,RO,1730070878
170,taitung city,22.7583,121.1444,25.15,94,75,1.54,TW,1730070879
171,lompoc,34.6391,-120.4579,18.62,79,0,9.39,US,1730070738
172,dongola,19.1667,30.4833,21.79,18,14,5.66,SD,1730070881
173,jayapura,-2.5333,140.7,26.66,74,64,2.53,ID,1730070883
174,keflavik,64.0049,-22.5624,1.24,75,0,0.0,IS,1730070884
175,upata,8.0086,-62.3989,23.62,90,94,1.62,VE,1730070885
176,chake chake,-5.2459,39.7666,24.18,92,80,2.78,TZ,1730070886
177,mpanda,-6.3655,31.0409,18.57,92,84,0.44,TZ,1730070887
178,kerikeri,-35.2268,173.9474,17.98,49,87,4.37,NZ,1730070888
179,cheremshan,54.6667,51.5,1.8,92,95,0.79,RU,1730070889
180,kununurra,-15.7667,128.7333,28.99,65,75,2.57,AU,1730070891
181,nemuro,43.3236,145.575,13.11,85,100,6.01,JP,1730070592
182,hawaiian paradise park,19.5933,-154.9731,27.15,81,100,3.09,US,1730070893
183,bedum,53.3008,6.6028,10.55,93,100,3.16,NL,1730070894
184,nyurba,63.2842,118.3319,-8.98,96,100,1.95,RU,1730070895
185,launceston,-41.45,147.1667,13.8,41,8,5.66,AU,1730070896
186,iringa,-7.7667,35.7,16.66,83,34,1.09,TZ,1730070897
187,bani walid,31.7566,13.9942,19.11,71,59,4.08,LY,1730070898
188,anuradhapura,8.3565,80.4173,23.92,91,51,3.53,LK,1730070669
189,enniscorthy,52.5008,-6.5578,14.15,100,95,5.4,IE,1730070901
190,lubango,-14.9172,13.4925,15.96,78,53,1.73,AO,1730070902
191,kayenta,36.7278,-110.2546,21.2,15,100,5.58,US,1730070903
192,jodhpur,26.2867,73.03,26.67,43,9,3.44,IN,1730070904
193,ankang,32.68,109.0172,12.16,83,0,0.47,CN,1730070905
194,tindouf,27.6711,-8.1474,16.15,71,1,7.08,DZ,1730070906
195,fort bragg,35.139,-79.006,14.91,80,100,2.57,US,1730070907
196,markovo,57.3206,107.0881,-1.78,99,94,1.05,RU,1730070909
197,shiyan,32.6475,110.7781,13.14,75,25,1.77,CN,1730070910
198,freeport,40.6576,-73.5832,12.2,46,0,4.12,US,1730070912
199,dergachi,51.2328,48.7659,5.42,83,100,2.79,RU,1730070913
200,dudinka,69.4058,86.1778,-11.1,94,100,7.66,RU,1730070915
201,petropavlovsk-kamchatsky,53.0452,158.6483,0.33,55,75,2.0,RU,1730070916
202,itaocara,-21.6692,-42.0761,21.57,83,94,1.27,BR,1730070917
203,kochubey,44.3861,46.5825,7.19,59,79,1.93,RU,1730070918
204,kone,-21.0595,164.8658,28.45,51,40,1.88,NC,1730070919
205,gravenhurst,44.9168,-79.3663,5.86,100,100,1.03,CA,1730070920
206,lodwar,3.1191,35.5973,28.49,57,81,5.18,KE,1730070921
207,alto araguaia,-17.3147,-53.2153,23.55,78,78,0.67,BR,1730070923
208,bocana de paiwas,12.7857,-85.1227,22.62,94,100,2.54,NI,1730070924
209,risod,19.9667,76.7833,19.98,66,76,2.04,IN,1730070925
210,harper,4.375,-7.7169,25.12,89,99,3.49,LR,1730070926
211,gadzhiyevo,69.2551,33.3362,5.13,89,100,9.79,RU,1730070927
212,nabire,-3.3667,135.4833,26.27,89,45,1.62,ID,1730070928
213,challapata,-18.9,-66.7667,16.77,18,83,1.13,BO,1730070929
214,tevriz,57.509,72.4042,1.73,86,98,1.57,RU,1730070931
215,tres coracoes,-21.6969,-45.2533,18.74,86,97,4.59,BR,1730070932
216,qa'en,33.7265,59.1844,6.49,82,32,2.7,IR,1730070933
217,tralee,52.2704,-9.7026,13.73,98,100,3.33,IE,1730070829
218,kalulushi,-12.8378,28.0919,18.08,83,99,2.4,ZM,1730070936
219,port-vila,-17.7338,168.3219,26.07,78,82,7.05,VU,1730070937
220,upington,-28.4478,21.2561,6.83,61,5,5.47,ZA,1730070740
221,piti village,13.4626,144.6933,27.49,93,40,2.57,GU,1730070940
222,melendugno,40.2747,18.3368,17.91,75,8,1.33,IT,1730070941
223,thai binh,20.45,106.3333,21.59,65,100,9.01,VN,1730070942
224,hithadhoo,-0.6,73.0833,27.42,79,84,5.31,MV,1730070943
225,luis correia,-2.8792,-41.6669,26.7,76,5,7.5,BR,1730070944
226,korla,41.7597,86.1469,12.09,34,70,3.59,CN,1730070712
227,miyaly,48.8844,53.7836,4.44,64,89,3.08,KZ,1730070946
228,northam,51.0333,-4.2167,10.9,94,100,7.18,GB,1730070948
229,zaragoza,41.6561,-0.8773,12.79,79,75,2.06,ES,1730070723
230,paredon,16.0333,-93.8667,28.37,70,76,8.54,MX,1730070950
231,st. john's,47.5649,-52.7093,6.1,84,8,1.34,CA,1730070868
232,chichiriviche,10.9333,-68.2772,28.28,81,77,5.31,VE,1730070953
233,dhemaji,27.4833,94.5833,20.38,93,0,1.41,IN,1730070954
234,praia da vitoria,38.7333,-27.0667,17.27,74,74,3.6,PT,1730070956
235,'ain el turk,35.7438,-0.7693,12.38,94,75,1.03,DZ,1730070957
236,plastun,44.7561,136.2939,1.31,77,6,2.36,RU,1730070958
237,kalmunai,7.4167,81.8167,26.24,84,49,0.48,LK,1730070888
238,uray,60.1247,64.7758,0.62,91,100,1.67,RU,1730070962
239,island harbour,50.724,-1.2758,12.79,73,95,2.24,GB,1730070964
240,mokhsogollokh,61.4681,128.9203,-19.4,95,97,1.16,RU,1730070965
241,stefanesti-sat,47.7833,27.1833,11.38,51,0,0.88,RO,1730070966
242,hermanus,-34.4187,19.2345,16.0,89,96,8.78,ZA,1730070967
243,parauapebas,-6.0675,-49.9022,30.05,39,71,0.29,BR,1730070702
244,oskaloosa,41.2964,-92.6444,17.99,34,0,4.12,US,1730070969
245,slave lake,55.2834,-114.769,3.99,81,100,4.63,CA,1730070970
246,labytnangi,66.6572,66.4183,-5.45,90,22,3.17,RU,1730070971
247,ozalp,38.6548,43.993,1.31,63,0,0.8,TR,1730070973
248,kruisfontein,-34.0033,24.7314,12.99,74,86,8.97,ZA,1730070974
249,acarau,-2.8856,-40.12,25.67,81,5,7.44,BR,1730070975
250,chinde,26.8212,87.7095,20.63,81,0,1.84,NP,1730070976
251,hadibu,12.65,54.0333,26.4,79,37,2.76,YE,1730070977
252,baturaja,-4.1333,104.1667,23.35,91,57,1.06,ID,1730070978
253,villa madero,19.4,-101.2667,19.56,67,1,0.38,MX,1730070980
254,dalandzadgad,43.5708,104.425,5.4,51,95,2.19,MN,1730070953
255,rabo de peixe,37.8,-25.5833,17.77,99,75,2.06,PT,1730070982
256,lexington,37.9887,-84.4777,14.0,44,0,2.06,US,1730070826
257,zheleznogorsk-ilimskiy,56.5768,104.1217,-0.64,97,100,1.09,RU,1730070984
258,noshiro,40.2039,140.0242,13.75,83,100,7.89,JP,1730070985
259,lazaro cardenas,17.9583,-102.2,29.19,76,0,4.31,MX,1730070986
260,christchurch,-43.5333,172.6333,16.85,66,83,1.03,NZ,1730070938
261,esqueda,30.7167,-109.5833,32.25,14,79,4.38,MX,1730070989
262,laguna,38.421,-121.4238,25.08,54,20,5.66,US,1730070990
263,nizhneudinsk,54.9076,99.0276,3.28,95,100,1.42,RU,1730070991
264,buala,-8.145,159.5921,29.3,75,92,4.6,SB,1730070992
265,haiku-pauwela,20.9219,-156.3051,26.76,73,75,10.28,US,1730070993
266,coahuayana de hidalgo,18.7,-103.6583,30.3,64,0,1.98,MX,1730070994
267,bom jardim,-7.7958,-35.5872,22.55,80,10,3.54,BR,1730070995
268,gaigeturi,33.4644,126.3183,19.0,70,99,6.95,KR,1730070996
269,lapai,9.05,6.5667,25.44,61,55,0.95,NG,1730070998
270,abu jibeha,11.4562,31.2285,26.98,20,77,3.06,SD,1730070999
271,saint-louis du nord,19.9333,-72.7167,27.75,83,100,9.15,HT,1730071000
272,aasiaat,68.7098,-52.8699,-14.41,80,17,4.7,GL,1730071001
273,puerto penasco,31.3167,-113.5333,31.99,74,20,2.57,MX,1730070959
274,susuman,62.7833,148.1667,-17.25,94,100,1.21,RU,1730071003
275,moroni,-11.7022,43.2551,25.45,80,1,2.04,KM,1730071004
276,al bayda',32.7627,21.7551,14.44,71,0,1.97,LY,1730071005
277,dabola,10.75,-11.1167,23.53,72,8,1.29,GN,1730071007
278,yaren,-0.5472,166.916,28.26,74,49,5.63,NR,1730071008
279,katsuura,35.1333,140.3,20.24,90,100,4.8,JP,1730071009
280,ulladulla,-35.35,150.4667,18.67,59,94,2.9,AU,1730071010
281,carutapera,-1.195,-46.02,25.89,77,42,4.86,BR,1730071011
282,varna,43.2167,27.9167,8.82,100,20,1.54,BG,1730071012
283,narvik,68.4384,17.4272,4.34,93,100,2.09,NO,1730071013
284,malango,-2.9627,119.9001,21.74,79,9,0.26,ID,1730071015
285,danielskuil,-28.1887,23.5395,4.21,67,0,4.82,ZA,1730071016
286,vadso,70.0744,29.7487,6.09,87,75,10.29,NO,1730071017
287,south elmsall,53.5971,-1.2803,10.95,89,100,4.85,GB,1730071018
288,garissa,-0.4536,39.6401,25.62,64,100,5.5,KE,1730071019
289,salalah,17.0151,54.0924,26.05,78,0,1.03,OM,1730071020
290,port macquarie,-31.4333,152.9167,26.15,55,3,1.34,AU,1730071021
291,guerrero negro,27.9769,-114.0611,22.87,58,13,6.89,MX,1730071023
292,nova sintra,14.8667,-24.7167,26.38,76,98,6.92,CV,1730071024
293,new norfolk,-42.7826,147.0587,12.18,49,37,5.14,AU,1730071026
294,kotel'nikovo,47.6317,43.1461,5.24,64,71,3.0,RU,1730071027
295,victoria falls,-17.9235,25.843,26.19,43,94,4.13,ZW,1730070770
296,colesberg,-30.72,25.0972,5.72,68,10,8.82,ZA,1730071030
297,halifax,44.6453,-63.5724,5.81,55,1,2.24,CA,1730070652
298,dunedin,-45.8742,170.5036,9.86,72,94,5.62,NZ,1730071032
299,sinabang,2.4803,96.3801,25.77,84,82,1.05,ID,1730071033
300,sabha,27.0377,14.4283,21.16,25,31,4.66,LY,1730071034
301,wad rawah,15.1603,33.1397,28.26,11,51,6.21,SD,1730071035
302,zeya,53.75,127.2667,-7.2,89,44,1.02,RU,1730071037
